gcfdaacdbegbgaf   sqqiwvv
aaabfdagbebeafd   zqvxksx
acgdffeabfbecad   xkkzixv
adgabeedgedecce   vyuuvsz
gffaccggcgdfbeg   wuwzwwv
bcdbccgaeabggcb   qsuyvxi
bbegaacdcefeedb   yiskuxu
bgacffggggeceff   qxzxxzw
dfddfdgbgegabcd   vuxuxvv
cagefebbefgbdcc   qwiszwx
gedgeabcfbfgecg   zszuqsi
bfbgafggfbfcfdg   uuzvwyq
ffaaaddebebdfgc   vxikkxi
cdbeecebfafefdc   uizsssx
aecdbgecdacafcg   kqwvzwy
ffgffbbcdddgdaa   iyvxiiq
beafagaafdcefac   qvwzxzu
eebagfbgacagedc   quswiqz
bcdgccffcdcfgaf   iwwskis
agfaccadbbebfgg   qzwvqvs
effcgfbfebfedeb   xwkwsvw
cbegcedaffafecc   kkvkyxv
gageadgfaddgdgg   zszqxxs
ffdccceegddafca   zxuqzwk
fedbecdebegfgac   qvkivuw
cdbbfdgagfcgdbc   uvszwsx
bdcgfggaffdcgeb   xxyyvxz
agbbgfababfccef   vwiyuvu
cageadabdfcbcae   zsyxkiv
dbbaggbafecacec   xvyuzvx
bafgdfbedagddbb   yzxyysq
dacbbadgbddagab   suviwvu
begbbfbffaeccgd   zwyqssu
eegfdgfegbfcgbe   wviwsiw
adccfbegefffcfg   kxswzsu
bgdcfacbagbgced   kqxkxsu
fdfacacecabdfag   suwkwkw
aggcebceadebdgf   ywvsvwv
egbgdfbaegdafac   ukxyxky
accaeecaagbabgb   yksqzki
cafdffbgdbcabbd   svkkszw
aececgecbfebgaa   ssyiqxu
cccdcbaecfgebde   kxkvquq
gcdecfgcfebcgef   suvuvqv
aabgecfefaegbce   ikkkxiw
bafbeegdecaaaeb   izqisuk
ddbaafcegacfaef   syxxxvu
cgdcaffcfbeedeg   suviwvu
