cgdcaffcfbeedeg   pijoioi
ecebfagcfbdedfe   iqpolqq
eaggaefbdffbgea   jmijkqn
fcedgaeaagaebfc   njknpjm
deffgbgaedgbfgb   lioqmin
bgdbbcbbbfegafe   pjjoqjm
acdafgecacaagec   kqnjiij
bebdfgcaagagfbd   qkqkjqk
dccggegfeagafda   niiqmnk
decdddfbgafdcbg   iqnkpmj
ffegbgdbebcbefd   njjomko
fcegfcfefgbadcf   jinqpjp
agabecdaaacaeba   ooqmmlo
cegdbaedabfdged   ippmmqq
cfcbecagccfaagb   qkjqqik
cgbfbagcafcdbcf   lojmplo
cagacdbabaaaeaf   mnjmpkn
gdagacebfdccfef   jlkpjkm
gdebfbaaddedfgg   kimplnk
bfcaagcfcagcbcc   lkkkppk
eabcgdddgaegdec   ponokjj
bbdaaabbdagcgeg   jlojloq
eabffaafdgdcadf   kkkjjnk
babfccdcccfebed   onjolon
eegdbcbfdgdfcee   olqimnn
agfegcbeaffegab   njkojqo
gdcdefcecegdfbg   lononkk
gfeggbgcadffgcc   jmkqmkl
dgdafdgaaebcgcb   lqllkjl
bgdefebbbeaddef   jopljoo
dcdcbfebcbdbffe   pkjjoin
fagacdebfbecabb   opoijki
ggadcddfdedbabb   lkkoklk
bcfebdabaeefegf   pjlkion
gfabcgbbeebdged   knpkpip
abgbfdebcfabfgf   lpqpimk
dcfbefgaaeababe   onmklii
dbedbeddbbgbfed   qpmlinj
fdabdfbgdggdega   ppqkojk
daefedafggdafbc   oqoqkqk
gfgbebbcfdfadfb   omkilji
ecfdadcaceaegda   nppqkmq
adebfgffgfcfdaf   qqmqpjq
decagbgbdgagbgd   mqjoqio
dabacgcccgecacb   pjqomqn
gbebaeecffcgcag   kkqkjpm
gbcdfdcdddeaeag   klqnokq
cabdffgeabcddca   mijkkok
bdggbdebgfefgdf   kkqookn
fddafbcaeaaeegd   npiqpkn
gfegadggffdgdbf   noklnjk
bgdbcfadcbedafc   jlnjlkq
eabeacaedfggdfe   okklkkm
gcfgdccafdbfcff   knqklkm
gdefffccbecbffg   kpmmqko
bdaccfdfedfggbb   kkkjmln
egddfgagafbfgcc   imkpmmk
ebaecfcadaeafce   ppokpji
ddeedggceeabbdc   poqnnlk
eacfafdedgacgag   pqjpjpi
bggcaffbfgfcfdc   qnnloml
aaefegbdeecbgeb   kmonmki
cffccafaddaefae   jinnknk
cbgcfdgdcdbegcb   imlkplq
ffgcdaaaccdffbe   pkpmpjj
gcgegcabbaggefb   mmlmkjk
aeaagcbfbcbedfe   okiqmkk
fbefafccfbabbef   kkjojjn
abbgecffdddbefg   inknpkp
ddbgeebffccafdb   pminqli
dbggfeefdegcbag   pnqnkiq
baabbbfafgabaeb   nmljmlm
gdgbbfdggefcagb   likinik
adaddfebeccedcd   mqmpqkq
afagddeeebfcgeg   pnpiijq
gadcbcacbefgbag   kjkpjjo
cfaeaadgbcfceac   kimmpln
adeadefgaafedga   nqqjiil
ebaedfdbacfeeed   kjopmkj
dgcafgaededfbaf   qqnjiki
ggdgbbgbfbabdfb   nqpioqn
cebegfggfgceddb   iknmolp
gbaccdcfbaggagc   qnkikjm
beccbaggbcggfbb   mkjqjpj
adgcdgebccggbge   kjjmknk
ffddbgcedaefbca   ipiiqji
gbbaefagecfafcc   nmknnkq
cbfgbdgcgfadcec   nllqkln
deaceadaefbaafe   jjkpiom
bcecdedbfdeebbd   ppkklpn
fbdabecadfdacbc   iojqnok
ebgcdcfaafddafe   qqqioni
geefffbddcafcee   qljqokj
deafcbbadbgeddc   plnopkp
cegfbeccdcaecde   okkkonn
egaceaaccegafee   koknkii
egdgdcgfgadbfgd   knplkok
ecfgdeddfdabbgf   ppqiilq
egdecbbccfdgeeb   qjonkll
cfgeabaeebffgff   omkkkpm
bafeaacgdcbdcae   nlpmmoi
bgbadbgfabagbgb   kiiqmnl
ffbcebfdbedfbcg   ppkkjij
dfbefgafebagfba   qnimmqp
addgabbaeeebafb   qjjmkqm
eccdgdefcgeedae   mkjkijn
dfdcagdcbbbgegd   jnmlkki
ebeeeeaedcdgbdc   kmppkil
ccfbccdabbaedef   mioiqjn
ecdaddaegfdbdga   ollnqok
bdbdcebggcdcgab   qqiqlkm
aefbddbgcbedege   njilpni
fadbgabfbdfbgbd   jppimnj
gfdabcdcaaabfbd   inpimpq
fdcffdcaccagfeg   omikkkp
aaagdbgaebgdeeb   piklnnn
fdabeaceggcafff   kkkkjkn
effebbeddgdgfbf   oolkpik
gedbgddagcbfege   qkpjpil
dgecegfbadbbfdf   ijikoik
fceaffgdeebcbeb   pnjqpmo
facgccgddebbeaf   iijnkqo
bcedegdfbbefgca   plippkk
fedbcbacggdegbg   mpmonlq
fbecfbgcdgdgbdc   qqoompi
gcffeafagaacgfa   pknlqkq
aeageeabcbagbed   njmjjjo
eaebebacfebceaf   olkkoik
dgfaabaecefccag   ooqkljk
fcffeggcgcagdda   mplmimo
daafeaafcgfffgg   kloklkj
abgdfgbcacaegaf   kilkoko
afcdabdfedagdfe   iijqmlm
dcgedebbaadgdef   qlnonki
adfgfcbfedcdacb   omlnijq
ffbdgcdgbdecefb   kpjpljo
acegdbcfcffggcd   klkqkol
acdgbbaafccebbg   oqppnqn
faafeeebdbeafcb   plknjoo
fgcddbcfafgbbef   mklnoii
egfbefbaadgdgfg   nnmpnmk
cbagfcdbbecgdaf   pminiiq
cbagccffecafgcc   jkjmkkq
dfaaecbgeafeadd   qmkkmop
fgabdfegfdgebgf   kmiknpq
cffccebegabcdeb   qkkjmiq
abadgafadgfcadb   jjmplkk
fdcdecagecddacg   lnnpqli
fcafgfafffbcaag   qmqnpml
bggebfgefefaaaa   ikpknik
gdadecdgffdffeb   jinoqln
bcgeccfegeegedc   imkqlok
fbcfcbgfeaegbee   mipimkk
gfcccgcfbcfdffd   kiqpkql
adafbfaebcdaggg   jlkonil
ebaceecbgabagbb   kmlpkkm
efeefdabebbabba   pqqkonk
eebdfeedacabcbd   npmpnlk
ffdgbecgagbcgea   mkpnkmm
agfabafebcdfbfb   njoqkjj
cbbfafacadebfde   kmijkqk
dabfgadeeebfeac   inoimoj
bggdeafdgfebabe   qnkqkom
dgbcbgddaacafec   lkkkkmk
adddebdfagbdfdb   pmimjii
gagbgccdbcdeafb   mkkjnpm
dbcccebcdgdaefd   polqnkn
adabbddgfbgccba   qmnkqpp
dbdbagdceacaacc   jkoolqp
dfbefebbggbgebe   nioipql
geegadgefcdcbfa   ojjknip
abbbfaaeecfgfdf   ipkmijn
ecdgdbgagdcdbcc   klmmqqp
gabfegddcccafcc   jqjljom
bgadgadfddfbgce   jloljki
fdgaafbbebacbbf   kkkpnkj
ggccabbdfgfefaa   lqpklii
dbfbdabegfgacab   qjopqni
egcegabgccecdae   mkkqnmk
gaegfdcdbdfffgb   jkmkkpk
gffcgbbabcfadcf   knpqiqp
aaccedfegfeegef   kjqomjq
agedfagcagbaegf   qjkiikq
dbebbcbbafebaaa   ojknikk
fdbdgabgbfgbdgf   mqkolqj
ccgaggfecfbfbcc   jpmkknp
babcadgeaaffcef   ppljjlk
baeacgbacabgabe   koonjjk
bgdcccfagdbaaed   mmpnnkm
agdfabdacbgageg   nnknklk
ceedaeacccgfgfd   okmqoiq
egcbgbgdfcfagac   mkmkpji
ebdddegdacfaggf   noqqkkn
fgfbadgafggcdbc   lkpqjok
ebfeabccaaeeedg   iklipin
fcbbgedadafecff   okmikjj
ggeededgageafef   jqmjjik
egcgcegcddeddcb   kopnopq
cefddgbgecgebda   kkjmppj
cafgeecgdecgedg   nnqknil
gbdgggfbbcgfbgb   joqoonq
egdcecgbbbdcaae   pkjijki
edeffaebgagbeaf   mqpplni
bbddgbdbedgeaac   mmmolqi
cebafaafaeegegc   lnmiokk
fcafceebbggdebg   qlinmjn
gbgccfdggfbdfcb   pokkomj
fdeabdbfaaebbbd   qjqqqpj
dedfcdfgdgdffaa   opipikq
cbafgcaffbacdbc   kokqjmk
fccefabdbgebacb   jkkjlmk
bbagbgacdgeeded   lkommjn
ffagaacgdaggdca   lqkjkoq
dfbegecdefgedge   mplnilo
cdcfbbcccadcdeb   pkkoniq
bedebceegcccbdd   mmoqqok
bbadeegafeadcfa   mpnoioi
cgcagegcgabbfac   oqlkjin
febeaaegfefaebf   mjkjnqj
ebececbdbadadda   nlkjqlj
ddfeeecgacdaaga   pimkmii
dcaaaeefaaggbdg   mlnmkpn
bagaegdcfeddaaf   nmimkii
gbgdafeffcgbfec   pqiklkj
bcgccfebgcebcgf   ojqjijj
deggadfdageabdc   kijmloo
cecaegbeffedaag   mkliill
eafaegbfdgcaedf   qpoiqqm
eeddcfefgcfdagd   jqnpmio
ecgbgdbbdbefddg   oqmlqik
efacfegdccagdcc   kpinklm
ceddfgfbbagfecg   mnonlkk
ebfgbffbadfgbcb   lionlni
bdedbbabcagdfea   iioijkp
baacfcbaabgecbe   kpnoopo
dggdagfccbffedb   qqlokip
fefbgbfbdfbgfaf   mmkpkoo
afgaeeccbcdbbae   jpoijkl
bcfbdedgaacbddg   nkkklok
cfbbdcedaceebab   mjjikio
gfacbggefbbbgee   qiqnnkk
gggfdfagbdgdadc   lkkpmik
bagacdfdcdbgfgc   kiponkn
fbcgefbgbcdfdcg   knnijii
agfdeccegaagaeg   mnklqnq
bdacaacgbdbbbbe   ojkmlii
ggeadgececgbdaf   mqqkmii
bffdfdbfcafbeaf   jkjopnp
ggcdbcdfadaaecg   lmlppik
eddaddfbecbfbba   nnlklki
gdggccacfdeaaac   jnlpllm
cdggbgcebfddafe   lkjknmj
bebbebdfdaddfae   lkmlkjl
bedfegebdeefcaa   jmkmkpk
ggbefcgefdceffa   jkikmkk
fegadeaaagfggdb   jpolopk
bfcbefcecffafae   qknjqoo
degabdffcbdedcd   mkknmpi
ageeefegfaggggb   kkkpmin
cdeaefdfacgabba   inlpjpi
gecgbcaecaeddgf   kjppioq
eccdcbbefedddca   kljkqjn
dcffdeacdagcdae   pkqmqnm
facfddafceeefda   nkmojlk
degggecbdbggbbb   lmojill
cfcbefdecbccdbc   kqijokk
ebggbgdeecgecfg   kikoqmj
abgfgdagfdbcace   jkpiilo
dbfbacedffbedbf   klmjmlk
efgagdbdbeggfeb   klpnnik
eeacacebagebgag   jkjmipk
egdafeccgaeecec   lpqoojj
abfbbbbeggbcfef   knlkopm
eeecegdgceafggc   kmjkjjq
bcbcfbfabfcfdbf   okkoqmk
cbdaagfcdbbfdca   ipoklqo
daeeebdeadgdedg   kknqlol
gbgbddgcefdafac   kkionin
fafdccedaafccaa   nknpqpo
dbacdbafdfcfbcf   oiiqjkm
ebbfefdaefdabbg   mpllmpq
afadgfbgbdcbeab   kpmqonn
edcgeacecdccfgb   koopopn
agbbadedagefbba   noipkpk
baacegaedbeccdd   omkqqjp
eagafbaadcabfed   nkmnioo
cbgacbecfcdgfgf   kppqjjk
bcbebbbdgfefdfa   ikoklki
abgfbdbaaeaaagc   okipplp
aecbegbgadbedcf   lkmoqik
cbcgfdfaebeecff   lkmnlmi
dadbcagaecdgcfd   knkkqii
bfecadafefeaaec   jqmjopm
ddceccfcfedecga   nonjkjj
dadbeedcbbffedg   kpkkmpm
aadbcecbbeaebef   kknknkq
cgbcedadbcgbbdc   qmkmkko
egbbabdcefeeaag   imikonq
gccdfcdbabcfcdb   jkmkqkk
aadeafgdcabefgf   mqpjkql
ccceeabbddggafc   lmknlmn
dfddggegcccdffb   jmolmio
egafcbcfaeegdca   ljokllp
dagbdedbcaaadda   moqjpqi
caeeadgeedgefgg   qlmqllk
cbgfadddegbaefe   lkonpik
ffaggaedaefadbd   mnmkpoo
cbdfgccecfdcbba   kpikipi
egccgfbfafgeafb   okpjpqo
bfcgegebdbbbeff   ojiqlji
dadfdgddcadcffg   mjqjjjk
dabcafcfcfgfdgd   kiikomk
acadggcdgdbcgdd   knlkpjm
acbeggadcabcdbg   oikpkmn
efebgdddbgeefad   jkkjnpk
eacfbdagegbabee   qkknklj
adgfacgfeafdbdd   ikkliij
dgggdafgafgfcdd   qokkqln
bdceffgddfdccde   jqnkkqj
gdgagbbbfceeceg   pnljnnk
dcbebdabaccfbdg   kkkkkjo
bgagbcafaaecdee   ikjjjnl
baafggbbgaedceg   olknklp
ggfbddfddbecfba   ojpkkmo
bbecagfbcbgdcde   joqlkjk
gacbbcbbdagcdgd   ikpploi
deggbceecebgdee   lnjonqk
cagbfdefcdcfeeg   oimjppp
aebbbcdegaafabb   miiokpk
cgafgdgabdacbbg   nnmpkkn
ccfaedegcafbdfd   lkqjlqk
cccafgdaeccgcae   mnjopmj
eggddebagecaafg   jmkkkim
ebcgcdccacaacgc   milpkln
ggafacfaacafded   nkliqpn
gdebebgaecabaaf   ijkmoop
bfffabaffbbfcad   jokknqp
caggaabbfcgddag   qmkqllo
adfffcdbddcfdbd   mopikmm
fdefgefagfdgbfa   nqolkkj
gggddfafeabedbe   olkjpkj
gbdgccadeggbgfe   kioqlop
dggabcfbgcgbeee   kjjnlqo
faagageffbbegbf   kilkokl
eeeebgceegeagab   knnkqji
debacegdbefafba   lnmijpl
fbbfbbdbeffdfee   pmqmjlo
eedcagbgeddeadg   jkpqkim
addcdegfacdgbfb   jkppnmp
cgdffdeefacbgba   mlkjkmq
cdfffcbegaebgbg   nnlkkoo
ccdcfbdcdgdbdag   opkmkkp
gbggbeaegfddgeg   jkjqljl
afdaccgadfgefcg   njjmijq
edbfdgebcebedbg   jiqjmik
bcfbabbfcgafdbb   jmipppq
gfdeabebdbdecge   ljqlkpm
gbeccbbggcfbgde   nkkllli
bcddgfdabcdebbc   nmnmnqm
aedabcdacdegede   kjpokop
dfbgffgagbfbagg   omqikiq
bccbaebadcdceab   ikjokkk
cdfebedcedbcddd   nkpknoq
daebeefcbfdcbca   pnjikoo
eafgeccegcggfcd   nmnonpk
dggagebcabccddc   qqqkmpl
cdbabbdgfgbagcg   iljjokk
cffaebffffdgcce   jppilkj
cgcdeedefgaadfg   kmoqqio
fbcfcbabeegedfe   qnokmkn
badgagdcgfgabce   okkkmql
bcdaefbbbefcdfg   kmkkkkp
fbdfdgfcadacaee   kjklnpo
cgfbadcgagabbcf   llqiqjl
gccbegfdfddcgee   kqlimjp
babgaccffdfadeb   kmnomlo
gaafggfdgbdcgeb   inqmnko
feddaagacadabcg   killknn
ddffgfaceafbegd   pilljmm
gaafedgbaebdbgb   lqkmmki
ddefgfedadebdbf   qloqqlq
dadbgceafbfefbc   jnpkqnq
fgedbageefbeeca   qikpnlj
bgeadbeadgbbgga   ipnmlok
cfdeggceaegbbfg   kiqklkk
gbebfbdcebccbed   polijpl
cfabadcbadbcdbf   kpppqml
bcdebfadgbcbdgf   qlpjpki
dgacbaegdgcdfac   qokkikl
bfdabeeeaegfdbd   qkkjnqk
dbceabbafdaebgg   pnikqkl
fafagfadgacaebf   poknmpo
deafagbeacgcaef   pkkokpk
ggceffbaecabgeb   omokqpp
geedadcebafdedc   klkljpi
eacfcfcgaafbeca   mplmklj
fgbfabfadedfbgg   mopnmml
bgecaeeedegeafa   mqnkjnn
